age,gender,height,weight,workout_days,workout_minutes,daily_calories,protein_intake,sleep_hours,future_weight
34,1,1.694,62.8,5,52,2212.0,117.0,7.5,64.98
29,1,1.722,72.6,6,48,2367.0,135.0,7.3,74.43
36,1,1.74,76.4,3,28,1928.0,88.0,7.7,76.93
44,1,1.834,76.6,5,48,1821.0,96.0,8.1,75.58
28,1,1.679,72.5,2,63,1380.0,110.0,8.0,71.06
28,0,1.679,61.2,2,82,1924.0,114.0,7.2,62.52
44,0,1.723,86.1,6,28,1936.0,121.0,7.0,87.36
37,0,1.632,57.0,5,37,1506.0,130.0,8.6,58.2
26,1,1.792,76.0,3,17,2411.0,102.0,6.7,78.2
35,1,1.75,57.7,0,91,2149.0,98.0,8.3,60.12
26,1,1.778,70.4,0,58,1907.0,89.0,4.9,69.8
26,0,1.635,47.6,1,46,1300.0,95.0,6.5,47.36
32,0,1.641,71.7,2,19,1979.0,162.0,7.0,72.93
18,0,1.62,72.4,0,55,2091.0,125.0,7.8,74.17
18,1,1.735,79.9,1,47,2253.0,106.0,8.0,80.55
25,1,1.781,78.4,0,19,1534.0,94.0,8.3,77.07
21,1,1.797,65.5,3,49,1534.0,91.0,7.3,64.51
33,0,1.569,51.5,5,80,1659.0,84.0,6.9,52.29
22,0,1.615,79.6,2,50,2291.0,110.0,8.4,81.64
18,0,1.674,81.6,0,79,2314.0,159.0,7.3,84.45
43,1,1.714,73.9,3,86,1681.0,123.0,8.5,72.76
28,1,1.853,77.6,1,50,2383.0,135.0,7.7,78.92
31,0,1.646,79.1,3,53,2072.0,93.0,7.1,80.58
18,0,1.61,58.4,1,65,1403.0,84.0,8.1,58.9
25,1,1.781,79.7,0,75,2093.0,137.0,7.4,80.52
31,1,1.756,92.9,5,83,2633.0,140.0,7.4,93.29
20,1,1.804,72.4,4,85,1931.0,129.0,6.2,71.57
33,1,1.744,82.7,5,40,2123.0,128.0,6.9,84.08
25,1,1.738,80.5,3,84,2974.0,164.0,6.6,84.65
27,0,1.596,59.9,4,65,1830.0,102.0,7.4,60.98
25,1,1.753,60.5,2,45,1696.0,84.0,7.3,60.15
47,1,1.818,70.5,4,32,1764.0,126.0,6.9,70.74
30,1,1.744,74.0,5,39,2754.0,134.0,7.0,77.6
20,0,1.591,45.5,2,62,1395.0,90.0,7.6,45.11
37,0,1.637,67.5,6,45,1965.0,91.0,5.2,68.52
19,1,1.717,76.3,0,62,2321.0,90.0,5.5,78.25
32,0,1.574,70.8,0,32,1641.0,112.0,6.9,71.43
18,0,1.55,46.0,3,40,1325.0,69.0,8.5,46.19
